audit_scope,audit_date,numeric_id,qc_id,resource_id,title,publisher,source_type,primary_focus_area,additional_focus_areas,focus_areas,workflow_references,canonical_url,final_url,verification_date,url_status,currency_status,archived_status,duplicate_status,directory_status,qc_disposition,human_review_reason,notes
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,58,CT49,ct-connecticut-regulated-waste,Connecticut-Regulated Waste,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance; waste-characterization,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/connecticut-regulated-waste,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/connecticut-regulated-waste,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,59,CT50,ct-spill-reporting-requirements,Reporting Requirements for Spill Incidents,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,Tanks & Oil,Waste & Materials; Tanks & Oil,spcc-plan,https://portal.ct.gov/DEEP/Emergency-Response-and-Spill-Prevention/Spill-Reporting/Reporting-Requirements-for-Spill-Incidents,https://portal.ct.gov/DEEP/Emergency-Response-and-Spill-Prevention/Spill-Reporting/Reporting-Requirements-for-Spill-Incidents,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,60,CT51,ct-industrial-pretreatment-program,Pretreatment Program,Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,61,CT52,ct-pretreatment-permit-decision-chart,Pretreatment Permit Decision Chart,Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/webpage-icons/pretreatment-permit-decision-chart.pdf?rev=1780cc6909e249cf99569086d8bc9879&hash=26E75ACFC2C5DB18E12D1F577788B5DE,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/webpage-icons/pretreatment-permit-decision-chart.pdf?rev=1780cc6909e249cf99569086d8bc9879&hash=26E75ACFC2C5DB18E12D1F577788B5DE,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,62,CT53,ct-siu-general-permit-program,"General Pretreatment Permit for Significant Industrial User, Dewatering, and Remediation Discharges — Program Gateway",Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program/general-pretreatment-permit-for-significant-industrial-user-dewatering-and-remediation-discharges,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program/general-pretreatment-permit-for-significant-industrial-user-dewatering-and-remediation-discharges,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,63,CT54,ct-siu-general-permit,"General Pretreatment Permit for Significant Industrial User, Dewatering, and Remediation Discharges",Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/siu-gp-documents/2025-pretreatment-general-permit-siu.pdf,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/siu-gp-documents/2025-pretreatment-general-permit-siu.pdf,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,64,CT55,ct-non-siu-general-permit-program,General Pretreatment Permit for Non-Significant Industrial User Discharges — Program Gateway,Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program/general-pretreatment-permit-for-non-significant-industrial-user-discharges,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/industrial-wastewater/pretreatment-program/general-pretreatment-permit-for-non-significant-industrial-user-discharges,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,65,CT56,ct-non-siu-general-permit,General Pretreatment Permit for Non-Significant Industrial User Discharges to Publicly Owned Treatment Works,Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,,Water & Wastewater,industrial-pretreatment,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/non-siu-gp-documents/2025-pretreatment-general-permit---non-siu-permit.pdf,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/industrial_wastewater/pretreatment-group/non-siu-gp-documents/2025-pretreatment-general-permit---non-siu-permit.pdf,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,66,CT57,ct-netdmr,NetDMR in Connecticut,Connecticut Department of Energy and Environmental Protection,government-agency,Water & Wastewater,Stormwater,Water & Wastewater; Stormwater,industrial-pretreatment; industrial-stormwater,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/netdmr-in-connecticut,https://portal.ct.gov/deep/water-regulating-and-discharges/industrial-wastewater/netdmr-in-connecticut,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,67,CT58,ct-inland-wetlands-watercourses-act,Connecticut Inland Wetlands and Watercourses Act,Connecticut General Assembly,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://prdext3.cga.ct.gov/current/pub/chap_440.htm#sec_22a-36,https://prdext3.cga.ct.gov/current/pub/chap_440.htm#sec_22a-36,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,68,CT59,ct-inland-wetlands-program,Inland Wetlands and Watercourses,Connecticut Department of Energy and Environmental Protection,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://portal.ct.gov/deep/water/inland-wetlands/inland-wetlands-and-watercourses,https://portal.ct.gov/deep/water/inland-wetlands/inland-wetlands-and-watercourses,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,69,CT60,ct-inland-wetlands-municipal-permitting,Inland Wetlands and Watercourses Municipal Permitting,Connecticut Department of Energy and Environmental Protection,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://portal.ct.gov/DEEP/Water/Inland-Wetlands/Inland-Wetlands-and-Watercourses-Municipal-Permitting,https://portal.ct.gov/DEEP/Water/Inland-Wetlands/Inland-Wetlands-and-Watercourses-Municipal-Permitting,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,70,CT61,ct-municipal-inland-wetlands-agency-directory,Municipal Inland Wetlands Agency Staff Directory,Connecticut Department of Energy and Environmental Protection,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://portal.ct.gov/-/media/deep/water/wetlands/agenttownstaffdirectorypdf.pdf?rev=927737ba22fb4bff99d452df288e2fa8&hash=C07CD8BFC721F8DEFAD98D85D1A313DF,https://portal.ct.gov/-/media/deep/water/wetlands/agenttownstaffdirectorypdf.pdf?rev=927737ba22fb4bff99d452df288e2fa8&hash=C07CD8BFC721F8DEFAD98D85D1A313DF,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,71,CT62,ct-inland-wetlands-watercourses-defined,How Are Inland Wetlands and Watercourses Defined?,Connecticut Department of Energy and Environmental Protection,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://portal.ct.gov/DEEP/Water/Inland-Wetlands/How-Are-Inland--Wetlands-and-Watercourses--Defined,https://portal.ct.gov/DEEP/Water/Inland-Wetlands/How-Are-Inland--Wetlands-and-Watercourses--Defined,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,72,CT63,ct-inland-wetland-soils-gis,Soils Inland Wetland GIS,Connecticut Department of Energy and Environmental Protection,government-agency,Natural Resources,,Natural Resources,municipal-inland-wetlands,https://ct-deep-gis-open-data-website-ctdeep.hub.arcgis.com/datasets/CTDEEP::soils-inland-wetland/explore,https://ct-deep-gis-open-data-website-ctdeep.hub.arcgis.com/datasets/CTDEEP::soils-inland-wetland/explore,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,73,CT64,ct-air-permitting-inventory,Air Permitting and Inventory,Connecticut Department of Energy and Environmental Protection,government-agency,Air,,Air,stationary-source-air-authorization,https://portal.ct.gov/deep/air/permits/air-permits,https://portal.ct.gov/deep/air/permits/air-permits,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,74,CT65,ct-abatement-air-pollution-regulations,Connecticut Abatement of Air Pollution Regulations,Connecticut Department of Energy and Environmental Protection,government-agency,Air,,Air,stationary-source-air-authorization,https://portal.ct.gov/deep/air/planning/regulations/air-regulations,https://portal.ct.gov/deep/air/planning/regulations/air-regulations,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,75,CT66,ct-rcsa-22a-174-3a,RCSA §22a-174-3a — Permit Applicability and New Source Review,Connecticut Office of the Secretary of the State,government-agency,Air,,Air,stationary-source-air-authorization,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-174Section_22a-174-3a/,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-174Section_22a-174-3a/,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,76,CT67,ct-air-permits-faq,Air Permits — Frequently Asked Questions,Connecticut Department of Energy and Environmental Protection,government-agency,Air,,Air,stationary-source-air-authorization,https://portal.ct.gov/deep/air/permits/air-permits--frequently-asked-questions,https://portal.ct.gov/deep/air/permits/air-permits--frequently-asked-questions,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,77,CT68,ct-air-permitting-assistance,Air Permitting Assistance,Connecticut Department of Energy and Environmental Protection,government-agency,Air,,Air,stationary-source-air-authorization,https://portal.ct.gov/deep/air/permits/air-permitting-assistance,https://portal.ct.gov/deep/air/permits/air-permitting-assistance,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,78,CT69,ct-air-emissions-permits-forms,Air Emissions Permits and General Permits,Connecticut Department of Energy and Environmental Protection,government-agency,Air,,Air,stationary-source-air-authorization,https://portal.ct.gov/deep/permits-and-licenses/air-emissions-permits-and-general-permits,https://portal.ct.gov/deep/permits-and-licenses/air-emissions-permits-and-general-permits,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,79,CT70,ct-coastal-permit-program-overview,Overview of the Connecticut Coastal Permit Program,Connecticut Department of Energy and Environmental Protection,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://portal.ct.gov/deep/coastal-resources/coastal-permitting/overview-of-the-connecticut-coastal-permit-program,https://portal.ct.gov/deep/coastal-resources/coastal-permitting/overview-of-the-connecticut-coastal-permit-program,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,80,CT71,ct-licenses-activities-tidal-waters,Licenses for Activities in Tidal Waters,Connecticut Department of Energy and Environmental Protection,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://portal.ct.gov/deep/permits-and-licenses/lwrd-permit-app/tidal-coastal-permits,https://portal.ct.gov/deep/permits-and-licenses/lwrd-permit-app/tidal-coastal-permits,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,81,CT72,ct-lwrd-forms-instructions,LWRD Forms and Instructions,Connecticut Department of Energy and Environmental Protection,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://portal.ct.gov/deep/permits-and-licenses/lwrd-permit-app/lwrd-forms-and-instructions,https://portal.ct.gov/deep/permits-and-licenses/lwrd-permit-app/lwrd-forms-and-instructions,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,82,CT73,ct-tidal-wetlands-act,Connecticut Tidal Wetlands Act,Connecticut General Assembly,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://prdext3.cga.ct.gov/current/pub/chap_440.htm#sec_22a-28,https://prdext3.cga.ct.gov/current/pub/chap_440.htm#sec_22a-28,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,83,CT74,ct-structures-dredging-fill-statutes,"Connecticut Structures, Dredging and Fill Statutes",Connecticut General Assembly,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://prdext3.cga.ct.gov/current/pub/chap_446i.htm#sec_22a-359,https://prdext3.cga.ct.gov/current/pub/chap_446i.htm#sec_22a-359,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,84,CT75,ct-regulatory-jurisdiction-tidal-waters-wetlands,Reference for Regulatory Jurisdiction in Tidal Waters and Wetlands,Connecticut Department of Energy and Environmental Protection,government-agency,Coastal,,Coastal,coastal-structures-permitting,https://portal.ct.gov/-/media/deep/permits_and_licenses/land_use_permits/lwrd/referenceregulatoryjurisdictionpdf.pdf?rev=e98493bdc40743928207358cff987d12&hash=1BB2598F5759D58185A9AAE7822F62F8,https://portal.ct.gov/-/media/deep/permits_and_licenses/land_use_permits/lwrd/referenceregulatoryjurisdictionpdf.pdf?rev=e98493bdc40743928207358cff987d12&hash=1BB2598F5759D58185A9AAE7822F62F8,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,85,CT76,ct-industrial-stormwater-general-permit,General Permit for the Discharge of Stormwater Associated with Industrial Activity,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,industrial-stormwater,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/industrial/2025-permit-documents/2025-industrial-stormwater-general-permit-part-1--2erc.pdf?rev=e07e4c0e8e9942cfb424954fe5bc89e5&hash=CFF6E87399495EA4981CB0C8949F43CD,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/industrial/2025-permit-documents/2025-industrial-stormwater-general-permit-part-1--2erc.pdf?rev=e07e4c0e8e9942cfb424954fe5bc89e5&hash=CFF6E87399495EA4981CB0C8949F43CD,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,86,CT77,ct-industrial-stormwater-compliance-assistance,Industrial GP Compliance Assistance,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,industrial-stormwater,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/industrial-stormwater-gp/industrial-gp-compliance-assistance,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/industrial-stormwater-gp/industrial-gp-compliance-assistance,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,87,CT78,ct-rbcr-faqs,Release-Based Cleanup FAQs,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/-/media/deep/site_clean_up/release-based/rbcr-faqs.pdf?rev=c136553b53194b7ab7df6e525ca3cfce&hash=DC1D33F51006B496B2F47BEAFCC1A1F3,https://portal.ct.gov/-/media/deep/site_clean_up/release-based/rbcr-faqs.pdf?rev=c136553b53194b7ab7df6e525ca3cfce&hash=DC1D33F51006B496B2F47BEAFCC1A1F3,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,88,CT79,ct-underground-storage-tanks-program,Underground Storage Tanks,Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://portal.ct.gov/deep/underground-storage-tanks/underground-storage-tanks,https://portal.ct.gov/deep/underground-storage-tanks/underground-storage-tanks,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,89,CT80,ct-ust-official-regulations,Underground Storage Tank System Management — Official Connecticut Regulations,Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-449(d)/,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-449(d)/,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,90,CT81,ct-ust-registration-compliance,"UST Registration, Compliance & Release Prevention",Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://portal.ct.gov/deep/underground-storage-tanks/ust-registration-compliance--release-prevention,https://portal.ct.gov/deep/underground-storage-tanks/ust-registration-compliance--release-prevention,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,91,CT82,ct-ust-testing-requirements,UST Tank and Piping Testing Requirements,Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://portal.ct.gov/-/media/deep/underground_storage_tanks/ust_periodic_testing_table.pdf?rev=e5903b116eab455d88d7ce4edfaa27e9&hash=4659ABEB2D0D048D7275CA92BF28EE75,https://portal.ct.gov/-/media/deep/underground_storage_tanks/ust_periodic_testing_table.pdf?rev=e5903b116eab455d88d7ce4edfaa27e9&hash=4659ABEB2D0D048D7275CA92BF28EE75,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,92,CT83,ct-ust-operator-training,UST Operator Training,Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://portal.ct.gov/deep/underground-storage-tanks/operator-training/operator-training,https://portal.ct.gov/deep/underground-storage-tanks/operator-training/operator-training,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,93,CT84,ct-ust-financial-responsibility,Financial Responsibility Notice,Connecticut Department of Energy and Environmental Protection,government-agency,Tanks & Oil,,Tanks & Oil,ust-registration-compliance,https://portal.ct.gov/deep/underground-storage-tanks/financial-responsibility-notice,https://portal.ct.gov/deep/underground-storage-tanks/financial-responsibility-notice,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
